split,target,count,percentage
train,BACKGROUND,21727,0.12067873805820929
train,OBJECTIVE,13839,0.07686625194401245
train,METHODS,59353,0.3296656298600311
train,RESULTS,57953,0.3218895800933126
train,CONCLUSIONS,27168,0.15089980004443457
validation,BACKGROUND,3449,0.11415993644909307
validation,OBJECTIVE,2376,0.07864424731894612
validation,METHODS,9964,0.32980272739308886
validation,RESULTS,9841,0.3257314974182444
validation,CONCLUSIONS,4582,0.15166159142062757
test,BACKGROUND,3621,0.12015928322548532
test,OBJECTIVE,2333,0.0774182843869255
test,METHODS,9897,0.32842210054753607
test,RESULTS,9713,0.32231624357059896
test,CONCLUSIONS,4571,0.15168408826945412
