target,rank,word_or_phrase,coefficient
BACKGROUND,1,is,8.912581094997522
BACKGROUND,2,was to,7.5356594705680875
BACKGROUND,3,have,6.563183763437104
BACKGROUND,4,has,6.433900563429463
BACKGROUND,5,are,6.346476473827824
BACKGROUND,6,conducted to,6.294217533461728
BACKGROUND,7,aims,5.880249819570744
BACKGROUND,8,aim,5.642347454327321
BACKGROUND,9,recently,5.240650543761195
BACKGROUND,10,trial to,5.166045265405076
BACKGROUND,11,was designed,5.1405822025605135
BACKGROUND,12,recent,5.0858875384375235
BACKGROUND,13,aimed,4.985681406999629
BACKGROUND,14,study was,4.749610801347518
BACKGROUND,15,aimed to,4.69950705621683
CONCLUSIONS,1,should,10.202511252465467
CONCLUSIONS,2,improved,7.399872019598934
CONCLUSIONS,3,may,6.895526681007586
CONCLUSIONS,4,further,6.832943765985709
CONCLUSIONS,5,in,6.714202846006836
CONCLUSIONS,6,our,6.4971005697705735
CONCLUSIONS,7,can,6.280746867884981
CONCLUSIONS,8,improves,6.175426600810635
CONCLUSIONS,9,this,5.899743579757529
CONCLUSIONS,10,future,5.825329862823693
CONCLUSIONS,11,funded by,5.429100843884735
CONCLUSIONS,12,findings,5.410083184974026
CONCLUSIONS,13,effective,5.3880337929851505
CONCLUSIONS,14,feasible,5.344953463918851
CONCLUSIONS,15,not,5.328780066066341
METHODS,1,were,10.1250540716011
METHODS,2,were compared,8.319000273915844
METHODS,3,will,7.512605642204724
METHODS,4,received,6.992307842056912
METHODS,5,assessed,6.958612277148251
METHODS,6,included,6.7550307048141525
METHODS,7,provides class,6.226629984416718
METHODS,8,was used,6.05819329199926
METHODS,9,or,6.017536160705204
METHODS,10,is registered,5.962636338974014
METHODS,11,was,5.927549597228957
METHODS,12,will be,5.826634875426997
METHODS,13,randomly,5.706937071519516
METHODS,14,measured,5.6596382693848595
METHODS,15,was compared,5.648711861861114
OBJECTIVE,1,compare,10.288733829431877
OBJECTIVE,2,whether,9.18066922293783
OBJECTIVE,3,evaluate,8.507066370157828
OBJECTIVE,4,to,8.248981655625693
OBJECTIVE,5,to test,7.418965855769779
OBJECTIVE,6,to compare,7.178059098513024
OBJECTIVE,7,examine,6.750866714022285
OBJECTIVE,8,determine,6.740193705538549
OBJECTIVE,9,to evaluate,6.637072430153108
OBJECTIVE,10,investigate,6.595957751018399
OBJECTIVE,11,to investigate,6.571156293978802
OBJECTIVE,12,to determine,6.097926082559701
OBJECTIVE,13,investigated,5.923602144053923
OBJECTIVE,14,assess,5.75085255994593
OBJECTIVE,15,to study,5.249476076144754
RESULTS,1,001,12.367405078662985
RESULTS,2,05,9.308884984945898
RESULTS,3,respectively,8.82361634346547
RESULTS,4,showed,8.495787371272135
RESULTS,5,01,8.114106539039636
RESULTS,6,significantly,7.781353802867779
RESULTS,7,was,7.380815190040051
RESULTS,8,had,7.1133842755085634
RESULTS,9,95,7.111036384369081
RESULTS,10,0001,6.866103449187648
RESULTS,11,median,6.766287529295271
RESULTS,12,increased,6.6889965897351455
RESULTS,13,vs,6.597470989882885
RESULTS,14,revealed,6.4585115181661745
RESULTS,15,significant,6.385197583099534
